string_id,string
forest_m1_1_s1,"앗, 뭐야 넌 누구냐!"
forest_m1_1_s2,어 잠시만… 너가 바로 그 물 속성 고양이 테라구나! 쫓겨났다는!
forest_m1_1_a1,응 맞아 내가 테라야
forest_m1_1_s3,"반가워 테라, 꼭 만나보고 싶었어! 내 이름은 ‘라토’야"
forest_m1_1_a2,"쫓겨난 고양이라니, 너무한데"
forest_m1_1_s4,"아 미안, 정식으로 내 소개를 할게. 나는 ‘라토’ 라고 해!"
forest_m1_1_s5,숲을 열심히 관리하는 성실한 숲지기지
forest_m1_1_s6,숲지기는 할 일이 아주 많아 예를 들자면…
forest_m1_1_s7,헉!!!!!
forest_m1_1_s8,"테라, 큰일났어!! 오늘까지 '[개정판] 화재 대처법 29가지'을 사막에 사는 ‘무이’에게 전해줘야 하는데… "
forest_m1_1_s9,종이가 다 흩어져서 바람에 날아가버렸어... 
forest_m1_1_a3,헉 어떡해… 내가 종이 찾는 걸 도와줄까?
forest_m1_1_s10,정말이야 테라??
forest_m1_1_s11,너무 고마워 정말! 종이를 모두 모아와주면 내가 꼭 보답을 할게!
forest_m1_1_a4,그 책을 왜 무이에게 전해줘야 하는데?
forest_m1_1_s12,요즘 사막에 부쩍 화재가 잦아졌다는 편지를 여러 번 받았어
forest_m1_1_s13,이게 반복되다 보면 우리 동물들은 맘 편히 살 수 없을 거야…
forest_m1_1_a5,내가 종이 찾는 걸 도와줄까?
forest_m1_1_s14,정말이야 테라??
forest_m1_1_s15,너무 고마워 정말! 종이를 모두 모아와주면 내가 꼭 보답을 할게!
forest_m1_1_a6,그렇구나… 고생이 많아
forest_m1_1_s16,그래서 말인데 테라… 혹시 날아간 종이들을 모두 모아와줄 수 있을까?
forest_m1_1_s17,종이를 모두 모아와주면 내가 꼭 보답을 할게!
forest_m1_1_a7,걱정 마! 내가 전부 찾아다 줄게
forest_m1_1_s18,"정말 고마워 테라! 이 은혜, 잊지 않을게"
forest_m1_2_s1,어 테라 왔구나!
forest_m1_2_s2,내가 부탁한 종이들을 마저 모아와 주겠니?
forest_m1_2_a1,응 조금만 기다려!
forest_m1_2_a2,종이를 못 찾겠어. 포기할래.
forest_m1_2_s3,퀘스트를 포기하면 보상을 받을 수 없어
forest_m1_2_s4,그래도 포기할 거야?
forest_m1_2_a3,응 포기할래
forest_m1_2_a4,음 아니야 마저 종이를 모아올게
forest_m1_2_s5,아쉽지만 어쩔 수 없지
forest_m1_2_s6,안전한 모험이 되길 바랄게!
forest_m1_2_s7,"그래, 잘 부탁해 테라!"
forest_m1_3_s1,어 테라 왔구나
forest_m1_3_s2,와! 내가 부탁한 종이들을 정말 다 모아왔잖아? 고마워 테라!
forest_m1_3_s3,이건 내 선물이야 받아서 잘 사용해 줘!
forest_m2_1_a1,"어, 라토?"
forest_m2_1_s1,라토?? 너 지금 나한테 라토라고 한 거야???
forest_m2_1_a2,어 라토가 아니구나!
forest_m2_1_s2,난 라토가 아니야! 난 리체라구!! 라토는 내 오빠야!
forest_m2_1_a3,미안해
forest_m2_1_s3,"나한테 라토라고 부르는 거, 정말 불쾌하니까 그러지 않아줬으면 좋겠어"
forest_m2_1_s4,근데 날 왜 부른 거야?
forest_m2_1_a4,"아 그게 말이지, 라토가 나한테 이 횃불을 줬는데 어떻게 사용하는지를 모르겠어"
forest_m2_1_s5,그것도 안 알려줬어? 정말 뭘 제대로 하는 게 없구나
forest_m2_1_a5,어떻게 사용하는지 알려줄래?
forest_m2_1_s6,왼쪽 길을 쭉 따라서 올라가다 보면 모닥불 자리가 있을 거야
